Participant,pre_n_total,pre_n_valid,pre_n_timeup,post_n_total,post_n_valid,post_n_timeup,pre_correct_rate,post_correct_rate,delta_correct_rate,pre_mean_duration,post_mean_duration,delta_mean_duration,pre_time_up_rate,post_time_up_rate,delta_time_up_rate
P-5320,20,19,1,20,19,1,0.7894736842105263,0.5789473684210527,-0.21052631578947367,3.1660199416311166,2.3162285403201452,-0.8497914013109713,0.05,0.05,0.0
P-5321,20,20,0,20,18,2,0.85,0.5,-0.35,3.600497603416443,2.6930330197016397,-0.9074645837148032,0.0,0.1,0.1
P-5322,20,18,2,20,19,1,1.0,0.2631578947368421,-0.736842105263158,3.1184361378351846,1.471384324525532,-1.6470518133096526,0.1,0.05,-0.05
P-5323,20,18,2,20,19,1,0.9444444444444444,0.7368421052631579,-0.20760233918128657,3.1949000358581543,2.6366194549359774,-0.5582805809221769,0.1,0.05,-0.05
P-5324,20,19,1,20,18,2,0.8421052631578947,0.3888888888888889,-0.4532163742690058,3.244597271869057,2.377319229973687,-0.86727804189537,0.05,0.1,0.05
P-5325,20,18,2,20,19,1,0.8888888888888888,0.47368421052631576,-0.4152046783625731,3.5977471669514975,2.1846135541012415,-1.413133612850256,0.1,0.05,-0.05
P-5326,20,20,0,20,19,1,0.9,0.3157894736842105,-0.5842105263157895,2.730340278148651,1.7709052688197087,-0.9594350093289425,0.0,0.05,0.05
P-5327,20,19,1,20,19,1,0.7894736842105263,0.42105263157894735,-0.368421052631579,2.4557816354851973,2.6177399158477783,0.16195828036258098,0.05,0.05,0.0
P-5328,20,20,0,20,18,2,0.8,0.3888888888888889,-0.41111111111111115,2.3997644543647767,2.228391448656718,-0.1713730057080589,0.0,0.1,0.1
P-5329,20,20,0,20,18,2,0.95,0.5555555555555556,-0.3944444444444444,2.5041618227958677,1.5851299895180597,-0.919031833277808,0.0,0.1,0.1
P-5330,20,18,2,20,19,1,1.0,0.42105263157894735,-0.5789473684210527,2.65232785542806,1.4016135366339433,-1.2507143187941168,0.1,0.05,-0.05
P-5331,20,20,0,20,19,1,0.85,0.3157894736842105,-0.5342105263157895,2.8866539716720583,1.8733282716650712,-1.013325700006987,0.0,0.05,0.05
P-5332,20,19,1,20,17,3,0.8947368421052632,0.29411764705882354,-0.6006191950464397,2.5635644511172644,2.8456475734710693,0.28208312235380495,0.05,0.15,0.09999999999999999
P-5333,20,19,1,20,15,5,0.7368421052631579,0.4666666666666667,-0.2701754385964912,3.286261044050518,3.5517932573954263,0.2655322133449083,0.05,0.25,0.2
P-5334,20,19,1,20,16,4,0.8421052631578947,0.4375,-0.4046052631578947,3.667821582994963,3.671161398291588,0.0033398152966248595,0.05,0.2,0.15000000000000002
P-5335,20,20,0,20,17,3,0.9,0.23529411764705882,-0.6647058823529413,2.5940699696540834,2.5532563293681427,-0.0408136402859407,0.0,0.15,0.15
P-5336,20,19,1,20,18,2,0.8947368421052632,0.3888888888888889,-0.5058479532163742,2.7731373686539498,3.0622343354754977,0.28909696682154795,0.05,0.1,0.05
P-5337,20,19,1,20,18,2,0.9473684210526315,0.3333333333333333,-0.6140350877192982,3.4098926970833228,2.3081020514170327,-1.10179064566629,0.05,0.1,0.05
